Material,SAP Description,Product Family,Family,Finance Category,FinCatDes,Product Category,Division,Lifecycle,Alias,Launch,EOL,SW,Metric1,Metric Comment
40379,ACOUSTIMAS 15 III BLK 220-240AP FRNWD,HED00005,AM15,AM,Acoustimass,Premium Home Theater,CED,End of Sales,BRUTUS,7/1/2006,9/1/2010,N/A,Profit%,
40380,ACOUSTIMAS 15 III BLK 220-240 FRNWD,HED00005,AM15,AM,Acoustimass,Premium Home Theater,CED,End of Sales,BRUTUS,7/1/2006,9/1/2010,N/A,Profit%,
40382,ACOUSTIMAS 15 III WHT 220-240AP FRWND,HED00005,AM15,AM,Acoustimass,Premium Home Theater,CED,End of Sales,BRUTUS,7/1/2006,9/1/2010,N/A,Profit%,
40383,ACOUSTIMAS 15 III WHT 220-240 FRNWD,HED00005,AM15,AM,Acoustimass,Premium Home Theater,CED,End of Sales,BRUTUS,7/1/2006,9/1/2010,N/A,Profit%,
40384,ACOUSTIMAS 15 III SILVER 220-240UK FRNW,HED00005,AM15,AM,Acoustimass,Premium Home Theater,CED,End of Sales,BRUTUS,7/1/2006,9/1/2010,N/A,Profit%,
40385,ACOUSTIMAS 15 III SILVER 220-240 FRNWD,HED00005,AM15,AM,Acoustimass,Premium Home Theater,CED,End of Sales,BRUTUS,7/1/2006,9/1/2010,N/A,Profit%,
40429,LS18 III DVD SYS US BLK R1 120V,HED00183,LS18,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,12/31/2009,,ComplianceDate,
40431,LS28 III DVD SYS BLACK R1 120V,HED00186,LS28,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,8/1/2010,,ComplianceDate,
40432,LS28 III DVD SYS WHITE R1 120V,HED00186,LS28,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,8/1/2010,,ComplianceDate,
40444,LS35 III DVD SYS US BLK R1 120V,HED00188,LS35,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,8/1/2007,,ComplianceDate,
40446,LS38 III DVD SYS US BLK R1 120V,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
40447,LS38 III DVD SYS US WHT R1 120V,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
40448,LS48 III DVD SYS US BLK R1 120V,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
40449,LS48 III DVD SYS US WHT R1 120V,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
40559,LS48 III DVD SYS EU WH R2 220V,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
40562,LS48 III DVD SYS AP BLK R4 DUAL,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
40563,LS18 III DVD SYS EU BLK R2 220V,HED00183,LS18,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,12/31/2009,,ComplianceDate,
40566,LS18 III DVD SYS JP BLK R2 100V,HED00183,LS18,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,12/31/2009,,ComplianceDate,
40569,LS18 III DVD SYS AP BLK R4 DUAL,HED00183,LS18,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,12/31/2009,,ComplianceDate,
40570,LS18 III DVD SYS AP WHT R4 DUAL,HED00183,LS18,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,12/31/2009,,ComplianceDate,
40580,LS28 III DVD SYS AP BLK R4 DUAL,HED00186,LS28,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,8/1/2010,,ComplianceDate,
40581,LS28 III DVD SYS AP WHT R4 DUAL,HED00186,LS28,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,8/1/2010,,ComplianceDate,
40582,LS28 III DVD SYS BLACK R1 DUAL,HED00186,LS28,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,8/1/2010,,ComplianceDate,
40584,LS28 III DVD SYS LM BLACK R4 DUAL,HED00186,LS28,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,8/1/2010,,ComplianceDate,
40590,LS35 III DVD SYS AP BLK R4 DUAL,HED00188,LS35,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,8/1/2007,,ComplianceDate,
40591,LS35 III DVD SYS AP WHT R4 DUAL,HED00188,LS35,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,8/1/2007,,ComplianceDate,
40594,LS35 III DVD SYS LM BK R4 DUAL,HED00188,LS35,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,8/1/2007,,ComplianceDate,
40596,LS38 III DVD SYS EU BK R2 220V,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
40604,LS38 III DVD SYS LM BK R4 DUAL,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
40606,LS48 III DVD SYS EU BK R2 220,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
40613,LS48 III DVD SYS AP WHT R4 DUAL,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
40616,LS48 III DVD SYS LM BK R4 DUAL,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
40617,LS48 III DVD SYS LM WH R4 DUAL,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
41458,LS18 III DVD SYS EU SL R2 220V,HED00183,LS18,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,12/31/2009,,ComplianceDate,
41461,LS28 III DVD SYS EU SL R2 220V,HED00186,LS28,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,8/1/2010,,ComplianceDate,
41466,LS38 III DVD SYS EU SL R2 220V,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
41468,LS48 III DVD SYS EU SL R2 220V,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
41793,LS V20 HT 120V BLACK,HED00246,LV20,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
41794,LS V30 HT 120V BLACK,HED00245,LV30,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
41795,LS V20 HT 220V BLACK,HED00246,LV20,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
41796,LS V30 HT 220V BLACK,HED00245,LV30,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
41798,LS V30 HT 230V BLACK,HED00245,LV30,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
41799,"LS V20 HT DUAL, BLK AP",HED00246,LV20,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
41800,"LS V30 HT DUAL, BLK AP",HED00245,LV30,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
41801,"LS V20 HT DUAL, WHT AP",HED00246,LV20,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
41802,"LS V30 HT DUAL, WHT AP",HED00245,LV30,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
42287,LS28 III DVD SYS BLK R1 120V FR,HED00186,LS28,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,8/1/2010,,ComplianceDate,
42289,LS35 III DVD SYS BLK R1 120V FR,HED00188,LS35,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,8/1/2007,,ComplianceDate,
42293,LS48 III DVD SYS BLK R1 120V FR,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
42573,LS V20 HT 120V WHITE,HED00246,LV20,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
42574,LS V20 HT 220V WHITE,HED00246,LV20,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
42579,LS V30 HT 120V WHITE,HED00245,LV30,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
42695,LS38 III DVD SYS JP BLK R2 100V,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/15/2006,8/1/2007,FX_CON.iso,ComplianceDate,
42895,LS18 III SYS UK SL R2 220V FR,HED00183,LS18,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/15/2006,12/31/2009,,ComplianceDate,
43381,LS28 IV DVD SYS EU BK R2 220V,HED00186,LS28,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,6/1/2004,8/1/2006,,ComplianceDate,
43382,LS28 IV DVD SYS EU WH R2 220V,HED00186,LS28,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,6/1/2004,8/1/2006,,ComplianceDate,
43383,LS28 IV DVD SYS UK BK R2 220V,HED00186,LS28,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,6/1/2004,8/1/2006,,ComplianceDate,
43406,LS38 IV DVD SYS US BLK R1 120V,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/1/2007,12/31/2009,FX_CON.iso,ComplianceDate,
43407,LS38 IV DVD SYS US WHT R1 120V,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/1/2007,12/31/2009,FX_CON.iso,ComplianceDate,
43408,LS38 IV DVD SYS EU BK R2 220V,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/1/2007,12/31/2009,FX_CON.iso,ComplianceDate,
43409,LS38 IV DVD SYS EU WH R2 220V,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/1/2007,12/31/2009,FX_CON.iso,ComplianceDate,
43410,LS38 IV DVD SYS UK BK R2 220V,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/1/2007,12/31/2009,FX_CON.iso,ComplianceDate,
43411,LS38 IV DVD SYS UK WH R2 220V,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/1/2007,12/31/2009,FX_CON.iso,ComplianceDate,
43417,LS35 IV DVD SYS US BLK R1 120V,HED00188,LS35,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/1/2007,8/1/2010,,ComplianceDate,
43418,LS35 IV DVD SYS US WHT R1 120V,HED00188,LS35,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/1/2007,8/1/2010,,ComplianceDate,
43423,LS35 IV DVD SYS AP BLK R4 DUAL,HED00188,LS35,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/1/2007,8/1/2010,,ComplianceDate,
43424,LS35 IV DVD SYS AP WHT R4 DUAL,HED00188,LS35,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/1/2007,8/1/2010,,ComplianceDate,
43431,LS35 IV DVD SYS US BLK R1 120V FR,HED00188,LS35,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,,8/1/2007,8/1/2010,,ComplianceDate,
43456,LS38 IV DVD SYS LM BK R4 DUAL,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/1/2007,12/31/2009,FX_CON.iso,ComplianceDate,
43460,LS38 IV DVD SYS EU SL R2 220V,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/1/2007,12/31/2009,FX_CON.iso,ComplianceDate,
43464,LS38 IV DVD SYS EU BK R2 220V FR,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/1/2007,12/31/2009,FX_CON.iso,ComplianceDate,
43466,LS38 IV DVD SYS UK BK R2 220V FR,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/1/2007,12/31/2009,FX_CON.iso,ComplianceDate,
43467,LS38 IV DVD SYS UK WH R2 220V FR,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/1/2007,12/31/2009,FX_CON.iso,ComplianceDate,
43477,LS38 IV DVD SYS UK SL R2 220V FR,HED00189,LS38,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Service Life,FEDX,8/1/2007,12/31/2009,FX_CON.iso,ComplianceDate,
43478,LS48 IV DVD SYS US BLK R1 120V,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43479,LS48 IV DVD SYS US WHT R1 120V,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43480,LS48 IV DVD SYS EU BK R2 220,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43481,LS48 IV DVD SYS EU WH R2 220V,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43482,LS48 IV DVD SYS UK BK R2 220V,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43483,LS48 IV DVD SYS UK WH R2 220V,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43486,LS48 IV DVD SYS US BK R1 DUAL,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43488,LS48 IV DVD SYS LM BK R4 DUAL,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43490,LS48 IV DVD SYS EU SL R2 220V,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43493,LS48 IV DVD SYS US BLK R1 120V FR,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43494,LS48 IV DVD SYS US WHT R1 120V FR,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43495,LS48 IV DVD SYS EU BK R2 220 FR,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43497,LS48 IV DVD SYS UK BK R2 220V FR,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43498,LS48 IV DVD SYS UK WH R2 220V FR,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43506,LS48 IV DVD SYS UK SL R2 220V FR,HED00191,LS48,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End of Sales,FEDX,8/1/2007,1/1/2012,FX_CON.iso,Profit%,
43542,LS V20 HT 220V EU SILVER,HED00246,LV20,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
43578,321 II GSX PL HE SYS SLV 230V EU,HED00228,321GSX,SB21,SoundBar 2.1,Soundbars,CED,End of Service Life,GEMSTONE,7/1/2004,7/15/2008,N/A,ComplianceDate,
43579,321 II GSX PL HE SYS GRP 230V EU,HED00228,321GSX,SB21,SoundBar 2.1,Soundbars,CED,End of Service Life,GEMSTONE,7/1/2004,7/15/2008,N/A,ComplianceDate,
43703,LS V30 HT 220V EU SILVER,HED00245,LV30,PHT-51,Premium Home Theater 5.1,Premium Home Theater,CED,End Of Sales,CLAUDIUS,10/11/2007,8/1/2010,N/A,Profit%,
44945,321 GSII GRPHT RG2 230V EU+TV,HED00226,321GS,SB21,SoundBar 2.1,Soundbars,CED,End of Service Life,GEMSTONE,7/1/2004,7/15/2008,N/A,ComplianceDate,
44947,321 GSII SILV RG2 230V EU+TV,HED00226,321GS,SB21,SoundBar 2.1,Soundbars,CED,End of Service Life,GEMSTONE,7/1/2004,7/15/2008,N/A,ComplianceDate,
44949,321 GSX GRAPHT RG2 230V EU+TV,HED00228,321GSX,SB21,SoundBar 2.1,Soundbars,CED,End of Service Life,GEMSTONE,7/1/2005,7/15/2008,N/A,ComplianceDate,
55060,CINEMATE REPLACEMENT PROGRAM,HED00062,CINE,SB21,SoundBar 2.1,Soundbars,CED,End of Service Life,CESAR,1/1/2005,,N/A,ComplianceDate,
57202,"CINEMATE 1SR,WB135",HED00273,CIN1SR,SB11,SoundBar 1.1,Soundbars,CED,End Of Sales,,9/26/2011,9/1/2014,,Profit%,
57215,VIDEOWAVE III 46,HED00291,VIDEOWAVE 46 SERIES III,VIDEO,Video,Legacy,CED,End of Sales,,10/10/2013,1/12/2015,,Profit%,
57216,VIDEOWAVE III 55,HED00292,VIDEOWAVE 55 SERIES III,VIDEO,Video,Legacy,CED,End of Sales,,10/10/2013,1/12/2015,,Profit%,
57235,"LS 520,UFS20B,UTS20B",HED00262,LIFESTYLE T20,PHT51,Premium Home Theater 5.1,Premium Home Theater,CED,Decline,,,,,Sales%,
57473,QVC 505506 SOUNDTOUCH PORTABLE,HED00302,SOUNDTOUCH PORTABLE,INHOMEWRLS,In-Home Wireless,Wireless Speakers,CED,End of Sales,TAIGAN,1/1/2013,,scm.stu,Profit%,
57474,QVC 505507 SOUNDTOUCH 20,HED00300,SOUNDTOUCH 20,INHOMEWRLS,In-Home Wireless,Wireless Speakers,CED,End of Sales,SPOTTY,1/1/2013,,scm.stu,Profit%,
57475,QVC 505508 SOUNDTOUCH 30,HED00301,SOUNDTOUCH 30,INHOMEWRLS,In-Home Wireless,Wireless Speakers,CED,End of Sales,MOJO,1/1/2013,,scm.stu,Profit%,
57523,"LS 535II,STA,UFS20B,UTS20B",HED00295,LIFESTYLE 535 SERIES II,PHT51,Premium Home Theater 5.1,Premium Home Theater,CED,Decline,LOVEJOY LIFESTYLE,1/1/2015,,DEF_CON.bos,Sales%,
57823,QVC 505577 WE 00 WAVE SOUNDTOUCH&RMT WHT,HED00298,WMS SOUNDTOUCH III,WAVEGUIDE,WAVE xxx,Wireless Speakers,CED,End of Sales,,,,,Profit%,
57824,QVC 505577 QZ 00 WAVE SOUNDTOUCH&RMT SLV,HED00298,WMS SOUNDTOUCH III,WAVEGUIDE,WAVE xxx,Wireless Speakers,CED,End of Sales,,,,,Profit%,
57825,QVC 505577 WE 00 WAVE SOUNDTOUCH&RMT GRP,HED00298,WMS SOUNDTOUCH III,WAVEGUIDE,WAVE xxx,Wireless Speakers,CED,End of Sales,,,,,Profit%,
58050,"WaveST(PW),APP1",HED00298,WMS SOUNDTOUCH III,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,SEINE,4/1/2012,,nelson.stu,Sales%,
58051,"WaveST(GG),APP1",HED00298,WMS SOUNDTOUCH III,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,SEINE,4/1/2012,,nelson.stu,Sales%,
58052,"WaveST(TS),APP1",HED00298,WMS SOUNDTOUCH III,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,SEINE,4/1/2012,,nelson.stu,Sales%,
58053,"WaveST(PW),COMP2III-BK",HED00298,WMS SOUNDTOUCH III,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,SEINE,4/1/2012,,nelson.stu,Sales%,
58054,"WaveST(GG),COMP2III-BK",HED00298,WMS SOUNDTOUCH III,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,SEINE,4/1/2012,,nelson.stu,Sales%,
58055,"WaveST(TS),COMP2III-BK",HED00298,WMS SOUNDTOUCH III,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,SEINE,4/1/2012,,nelson.stu,Sales%,
58086,"CINEMATE 520,BTA",HED00319,CineMate 520,SB51,SoundBar 5.1,Soundbars,CED,End Of Sales,,10/2/2014,10/1/2015,,Profit%,
58087,"CINEMATE 130,BTA",HED00320,CineMate 130,SB11,SoundBar 1.1,Soundbars,CED,End Of Sales,,10/2/2014,10/1/2015,,Profit%,
58088,"CINEMATE 120,BTA",HED00316,CineMate 120,SB11,SoundBar 1.1,Soundbars,CED,End Of Sales,,10/2/2014,10/1/2015,,Profit%,
58097,"LS 535III,BTA",HED00332,LS535 III,PHT51,Premium Home Theater 5.1,Premium Home Theater,CED,Decline,LOVEJOY LIFESTYLE,1/1/2015,,DEF_CON.bos,Sales%,
58099,"LS 525III,BTA",HED00331,LS525 III,PHT51,Premium Home Theater 5.1,Premium Home Theater,CED,Decline,LOVEJOY LIFESTYLE,1/1/2015,,DEF_CON.bos,Sales%,
58100,"LS 135III,BTA",HED00329,LS135 III,SB11,SoundBar 1.1,Soundbars,CED,Decline,LOVEJOY LIFESTYLE,10/2/2014,9/1/2015,DEF_CON.bos,Sales%,
58380,"WaveST(PW),PR",HED00298,WMS SOUNDTOUCH III,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,SEINE,4/1/2012,,nelson.stu,Sales%,
58381,"WaveST(GG),PR",HED00298,WMS SOUNDTOUCH III,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,SEINE,4/1/2012,,nelson.stu,Sales%,
58382,"WaveST(TS),PR",HED00298,WMS SOUNDTOUCH III,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,SEINE,4/1/2012,,nelson.stu,Sales%,
58430,"Wave ST(HGP),APP50",HED00298,WMS SOUNDTOUCH III,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,SEINE,4/1/2012,,nelson.stu,Sales%,
58730,LS SoundTouch 535 White Exchange,HED00348,LIFESTYLE 535 SERIES IV,PHT51,Premium Home Theater 5.1,Premium Home Theater,CED,Decline,LOVEJOY LIFESTYLE,1/1/2015,,DEF_CON.bos,Sales%,
58773,LIFESTYLE 535 WHITE SIV FLUSHMOUNT,HED00348,LIFESTYLE 535 SERIES IV,PHT51,Premium Home Theater 5.1,Premium Home Theater,CED,Decline,LOVEJOY LIFESTYLE,9/10/2015,9/1/2016,DEF_CON.bos,Sales%,
58791,"WST IV EB, APP-1II",HED00351,WAVE ST IV,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,JOAN,9/9/2015,,SEN_FW.bin,Sales%,
58792,"WST IV AW, APP-1II",HED00351,WAVE ST IV,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,JOAN,9/9/2015,,SEN_FW.bin,Sales%,
58793,"WST IV PS, APP-1II",HED00351,WAVE ST IV,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,JOAN,9/9/2015,,SEN_FW.bin,Sales%,
58798,"WST IV AW, APP-1",HED00351,WAVE ST IV,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,JOAN,9/9/2015,,SEN_FW.bin,Sales%,
58860,"WST IV EB, APP-1II RB",HED00351,WAVE ST IV,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,JOAN,9/9/2015,,SEN_FW.bin,Sales%,
58861,"WST IV AW, APP-1II RB",HED00351,WAVE ST IV,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,JOAN,9/9/2015,,SEN_FW.bin,Sales%,
58862,"WST IV PS, APP-1II RB",HED00351,WAVE ST IV,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,JOAN,9/9/2015,,SEN_FW.bin,Sales%,
58875,WIRELESS MUSIC SYSTEM ECOSYSTEM PACK WHT,HED00355,SOUNDTOUCH 10,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,RHINO,1/1/2015,,rhino.sm2.stu,Sales%,
58876,WIRELESS MUSIC SYSTEM ECOSYSTEM PACK BLK,HED00355,SOUNDTOUCH 10,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Decline,RHINO,1/1/2015,,rhino.sm2.stu,Sales%,
58877,WIRELESS MUSIC SYSTEM PREMIUM PACK WHT,HED00357,SOUNDTOUCH 30 SERIES III,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Maturity,LOVEJOY ST30,1/1/2015,,sm2.stu,PartsNoLongerAvailDate,
58879,WIRELESS MUSIC SYSTEM PREMIUM PACK BLK,HED00357,SOUNDTOUCH 30 SERIES III,1PWIFI,One Piece WIFI,Wireless Speakers,CED,Maturity,LOVEJOY ST30,1/1/2015,,sm2.stu,PartsNoLongerAvailDate,
